/ACsolution : pglib_opf_case10000_goc__api 0/4 uniform_0.01
/Date : 04-16-2024 05:52:38 EDT
/MachineName : cool1
/Processor : Intel(R) Xeon(R) Linux64 CPU E5-2687W v3 3.10GHz
/OS : Fedora 34 (Workstation Edition)
/Cores : 20 physical cores, 40 logical processors
/RAM : 256 GB RAM
/AMPL : Version 20231012
/Solver : Artelys Knitro 13.2.0
objvalue 2698211.1116706897
voltages and angles:
bus 1 M 1.034799728702685 A 0.3463766720662514
bus 2 M 1.0321709529934422 A 0.3059362401760918
bus 3 M 1.0363316291895475 A 0.611273506511744
bus 4 M 1.0181815762510678 A 0.22918114842234205
bus 5 M 1.0182255431511218 A 0.2293220248361235
bus 6 M 1.0459605925099877 A 0.6295961370272277
bus 7 M 1.0465373873497814 A 0.6265390913800616
bus 8 M 1.0177012628620166 A -0.0018309052839831218
bus 9 M 1.0217136394425665 A -0.04369628743830903
bus 10 M 1.024762380556574 A 0.35646575392783314
bus 11 M 1.0285324336752357 A 0.46287745443802525
bus 12 M 1.0318092125430705 A 0.5316987308935492
bus 13 M 1.033044998757702 A 0.5126567870670908
bus 14 M 1.0316823906451478 A 0.5313745991867119
bus 15 M 1.0322809340119923 A 0.5323269637054121
bus 16 M 1.0368639619291498 A -0.14459942712159427
bus 17 M 1.0377969472014617 A -0.1545414021154781
bus 18 M 1.03670006562966 A -0.14509745073933886
bus 19 M 1.0370082171782191 A -0.1438595240290223
bus 20 M 1.028151664356269 A 0.01074216786466323
bus 21 M 1.0358814656898037 A -0.029224948558654446
bus 22 M 1.0288820401534016 A 0.01175523152148382
bus 23 M 1.0281516643563193 A 0.010742167864840267
bus 24 M 1.022112482262601 A 0.6165653310972257
bus 25 M 1.0230623482145602 A 0.6082862724139255
bus 26 M 1.0591565457168146 A 0.6845126883280366
bus 27 M 1.0458833761898305 A 0.5641208989070061
bus 28 M 1.0440514185967988 A 0.5919535608552421
bus 29 M 1.0364387193581683 A 0.6336825037848154
bus 30 M 1.0454089903680122 A 0.5631186011620014
bus 31 M 1.0426815859174308 A 0.5959977881826883
bus 32 M 1.0243582999183674 A 0.6237809952294907
bus 33 M 1.0241187351025336 A 0.6229772914826285
bus 34 M 1.005664617813058 A -0.006532779513940587
bus 35 M 1.0287608919071507 A 0.14331397511618846
bus 36 M 1.0286583086841201 A 0.14302862111090467
bus 37 M 1.0353605932819345 A 0.20295369334356814
bus 38 M 1.0385928384771834 A 0.15149735007526816
bus 39 M 1.0350704636064514 A 0.20235251729526005
bus 40 M 1.01722672986061 A 0.5572179232223571
bus 41 M 1.023196584565775 A 0.6260058501897372
bus 42 M 1.02039852035071 A 0.574312409371596
bus 43 M 1.025041275375319 A 0.6345107331735158
bus 44 M 1.0319081812212167 A 0.632422056732715
bus 45 M 1.030012191306689 A 0.6389662540967153
bus 46 M 1.0185413651348316 A 0.06880212978522346
bus 47 M 1.0094480936673584 A 0.19716737726240213
bus 48 M 1.0073950011113535 A 0.22225780411238488
bus 49 M 1.0607885358529108 A 0.667563039493449
bus 50 M 1.0608684441642593 A 0.6675888760350825
bus 51 M 1.019240144439283 A 0.524799491183436
bus 52 M 1.0243968150582707 A 0.5293809851669239
bus 53 M 1.0245937384460495 A 0.5299308824787826
bus 54 M 1.0187521832376636 A 0.5324975647708066
bus 55 M 1.018573845750989 A 0.5319441560442612
bus 56 M 1.012994512627425 A 0.03454705077294288
bus 57 M 1.0129270209946097 A 0.03431302440512024
bus 58 M 1.0225386691480864 A 0.5291788305651615
bus 59 M 1.0251355048596509 A 0.5294887220988173
bus 60 M 1.0225022022410342 A 0.5498918471035951
bus 61 M 1.0224356270102077 A 0.5496487615600283
bus 62 M 1.015431026962941 A 0.15170965166934508
bus 63 M 1.025240686908027 A 0.5819284871429425
bus 64 M 1.0327817257407994 A 0.5414048239815781
bus 65 M 1.026971819802086 A 0.5837596646876596
bus 66 M 1.0248309575866632 A 0.5807797138402179
bus 67 M 1.0267830995236533 A 0.5524987997774058
bus 68 M 1.0321518419599185 A -0.1897267676260571
bus 69 M 1.032032173237253 A -0.1900450999373335
bus 70 M 1.0330594340720385 A -0.18222312592166326
bus 71 M 1.0217460334193864 A 0.35338396180763826
bus 72 M 1.0394696134678079 A 0.44006118606086425
bus 73 M 1.0392014282710431 A 0.418723749838803
bus 74 M 1.0393726027541688 A 0.4396592325956497
bus 75 M 1.040141851325447 A 0.44187655032065054
bus 76 M 1.0209656960848357 A 0.5405183034943227
bus 77 M 1.0203020176558089 A 0.5637176542877652
bus 78 M 1.0317167718873879 A -0.20737388267861243
bus 79 M 1.0288671343225362 A 0.19762244278581761
bus 80 M 1.0395251132851302 A 0.1653583899082831
bus 81 M 1.0301971603177846 A 0.1999032231397508
bus 82 M 1.028336016403191 A 0.195824706455364
bus 83 M 1.0217507344138146 A 0.14302605526030665
bus 84 M 1.0213688880932263 A 0.14216268081565261
bus 85 M 1.0220753497661903 A 0.1438981020296532
bus 86 M 1.064895650449239 A 0.6731019188855181
bus 87 M 1.014978103913109 A 0.1653759772201612
bus 88 M 1.0144449669365165 A 0.16452578823112138
bus 89 M 1.014778194107379 A 0.15628998977537095
bus 90 M 1.014499193884789 A 0.15566122699109491
bus 91 M 1.0340653999049338 A 0.2717303393946399
bus 92 M 1.0372271978187868 A 0.254365856482462
bus 93 M 1.03630262349591 A 0.20585829924616153
bus 94 M 1.0336389637536847 A 0.27050530129385597
bus 95 M 1.0372778931458129 A 0.27528899572778814
bus 96 M 1.0192391843980553 A 0.058236231942883375
bus 97 M 1.0268109784885404 A -0.1765528435855433
bus 98 M 1.0079111150257916 A -0.18045125812429758
bus 99 M 1.0231519057587273 A -0.17719103800509245
bus 100 M 1.0230214549803411 A -0.17758431450512593
bus 101 M 1.043300812112827 A 0.1661336173666709
bus 102 M 1.0439583613491004 A 0.1667262155218507
bus 103 M 1.0438107481970227 A 0.16615432884009237
bus 104 M 1.0310196138196652 A -0.13426872411981378
bus 105 M 1.027886746083102 A -0.16392682430934705
